akuzi	to accuse
beto	beet
agento	agent
tajpi	to type
tomato	tomato
cikonio	stork
veziko	bladder, bubble, blister
radiatoro	radiator
sulko	furrow, wrinkle
bronzo	bronze
teritorio	territory
ekrano	screen
mielo	honey
komplemento	complement
ŝaŭmo	foam, froth
konsekvenco	consequence, consistency
Azio	Asia
baloti	to ballot, poll, vote, elect
nenial	for no reason
ĉiom	the whole, all
rendevuo	rendezvous; appointment
perei	to perish
spongo	sponge
trejni	to coach, train
grego	flock, herd
fi	fie! shame!
palpebro	eyelid
monstro	monster
papilio	butterfly
limako	slug, snail
cikatro	scar
kosmo	outer space, cosmos, universe
oponi	to oppose
pronomo	pronoun
budĝeto	budget
kolonelo	colonel
aluminio	aluminum
zumi	to hum, to buzz
kompromiti	to compromise, endanger, imperil, jeopardize, prejudice
pekli	to pickle (meat, etc)
psikologio	psychology
felto	felt
salato	salad
mistifiki	to fool, hoax, mystify, trick
centimetro	centimeter
instanco	authoritative source, court, (competent official) authority, instance, jurisdiction, body
kaduka	decaying, in ruin
plasto	plastic (material)
barbiro	barber
ĉaro	car, cart, chariot
recenzi	to review
gobio	gudgeon
inventi	to invent
menuo	menu
kontanta	cash, in cash
kalo	callus, corn (on foot)
akto	act (of a play)
melono	melon
kompensi	to compensate
tigo	stalk, stem
aktiva	active (grammatical)
majesta	majestic
elektroniko	electronics
piano	piano
rivoluo	revolution
borso	money market, stock exchange, stock market
manovri	to maneuver
lekcio	lecture
sorbi	to absorb
establi	to establish
korniko	hooded crow
bleki	to neigh, bleat, give its cry (of any animal)
cinamo	cinnamon
satiro	lampoon, satire
malica	malicious
blasfemi	to blaspheme, cuss, curse, swear
kankro	crab, crayfish
bukedo	bouquet
proponi	to propose, to offer
federacio	federation
stadio	period, phase, stage, stadium (Greek measure)
kakto	cactus
reala	real
balbuti	to falter, stammer, stutter
cirkuli	to be about, circulate, get about
vagi	to wander, to roam
hektaro	hectare
akcento	accent, stress
prelegi	to address, discourse, lecture
moralo	morals
bruto	brute, beast, head of cattle
nukso	nut
riveli	to develop, reveal
cirkvito	circuit
parlamento	parliament
ĉerko	coffin
volumo	tome, volume
kartono	cardboard, pasteboard
pudro	(cosmetic) powder
provoki	to defy, incite, provoke, incite
abrikoto	apricot
procento	interest, percentage
lojala	faithful, loyal
pavo	peacock
subjekto	subject (grammar), topic
debeto	debit
fuŝi	to bungle
relativa	relative
ovalo	oval
plago	calamity, scourge, plague
saliko	willow
enketi	to inquire, investigate, make an inquiry, survey
buklo	curl (of hair)
sekcio	branch, chapter, section
revolucii	to revolt
grati	to scratch
romano	novel
karpo	carp
kajuto	compartment, cabin (on ship or plane)
alterni	to alternate
ĉies	everyone's
nuko	back of the neck, nape, scruff
kostumo	costume, outfit, suit, dress, garb
veluro	velvet
kahelo	flag, paver, paving block, tile
avantaĝo	advantage, benefit
girlando	garland, wreath
pantoflo	slipper
bredi	to breed, farm, keep, raise, rear
akcio	corporate share, share (finance), stock
kejlo	peg, pin
adverbo	adverb
tumulto	agitation, riot, tumult, disturbance, clamor, racket, row, noise, commotion
kolegio	college
tapeto	tapestry, wall covering, wallpaper
ciro	shoe polish; blacking (for shoes)
akso	axis, axle
konsulo	consul
turismo	tourism
bonvoli	to do a favor
rafano	radish
kandidato	candidate
propozicio	proposition, sentence, statement
spiti	to defy
cikado	cicada
kukurbo	pumpkin
barko	bark, boat, small ship
gvardio	guard (elite military corps, not sentry)
kamelo	camel
spuro	trace, track, trail
sago	arrow
kategorio	category
glavo	sword
neniel	in no way
substantivo	noun, substantive
cepo	onion
rolo	role, part
susuri	to rustle, swish
Eŭropo	Europe
izoli	to insulate, isolate, seclude
ĝibo	bump, hump
luli	to lull to sleep
mineralo	mineral
kolizii	to collide (with), crash into, run into, clash
rubando	ribbon
populara	popular
disponi	to absorb, have at one’s disposal, dispose (of), have available
pia	pious
vulkano	volcano
medicino	medicine (the science)
etato	account, inventory, report, list, register, return (financial), statement (financial), table (data)
revizii	to revise
kombini	to combine
aktoro	actor (player)
akno	pimple, zit, blemish, spot, acne
kazo	case (grammatical)
oceano	ocean
abstini	to abstain
kompliki	to complicate
kulto	cult (system of religious worship), homage, devotion
kalumnii	to defame, libel, malign, slander, vilify, bad-mouth
lacerto	lizard
lardo	bacon
volumeno	volume (of a body)
asisti	to abet, aid, assist, help, attend to, support
fronto	front, battlefront, frontage
banto	bow (of ribbon)
tikli	to tickle
korekti	to correct
najtingalo	nightingale
ĉial	for every reason
gustumi	to taste (food, drink)
muzelo	muzzle, snout
fotelo	armchair; (theater) stall
lako	lacquer
perlo	pearl
muzeo	museum
stano	tin (metal)
menso	mind
kompanio	company (commercial organization)
intima	intimate
vipo	whip
katalogo	catalogue, directory, inventory, schedule
strigo	owl
lukti	to struggle, wrestle
furioza	furious, raging
heroldo	herald
kompetenta	able, accomplished, competent, proficient, adept, capable, efficient, qualified
formiko	ant
reflekti	to reflect
generalo	general (military)
staturo	stature
misuzi	to abuse, misuse
determini	to decide, determine, fix, set, settle
apro	wild boar
impulso	impulse
devontigi	to obligate
proletario	proletarian
pasero	sparrow
asfalto	asphalt
humana	humane, humanitarian
pigo	magpie
bandaĝo	bandage
svati	to match-make, match
plandumo	sole (shoe)
takto	beat, musical time, tact, time
terni	to sneeze
pasaĝero	passenger
maksimumo	maximum
familiara	familiar, accustomed
gramo	gram
ĉelo	cell
materio	matter, substance
papago	parrot
flagri	to flare, flare up, flicker
bakterio	bacterium
tigro	tiger
fluido	fluid, liquid
inundi	to flood
rimo	rhyme
inspektoro	inspector, overseer
suplemento	supplement
atomo	atom
Atlantiko	Atlantic (Ocean)
eklezio	church (institution, not building)
deponi	to deposit, dump, bank, file, lodge, store
brando	brandy
pluralo	plural
solena	formal, solemn
kaskedo	(peaked) cap
longitudo	longitude
gripo	influenza, flu
fripono	rogue, rascal, knave
tekniko	technique, technology
ĝendarmo	constable, gendarme, patrolman
himno	anthem, hymn, canticle
sociala	communal, social
marmelado	marmalade, jam
invalido	disabled person, invalid
subtila	subtle
infero	hell
kanalo	canal
bacilo	bacillus
ekspluati	to exploit, leverage, take advantage of, utilize, work
muĝi	to roar, to bellow
lilio	lily
oblikva	oblique, slanting
fliki	to patch
oratoro	orator, spokesperson, speaker
komunumo	community, commune; commonwealth; municipality
gelateno	gelatine
abrupta	abrupt
valida	valid
iafoje	sometimes
obstaklo	obstacle
latuno	brass
ĥoro	choir, chorus
subtrahi	to subtract
indigni	to be indignant, be irritated, resent
bulko	roll (bread)
duope	by twos, two together
solidara	interdependent, jointly responsible, standing together
sledo	sled, sleigh, toboggan
agiti	to agitate
testudo	tortoise
vakso	wax
redukti	to reduce
konsumi	to consume, use up, exhaust
cirklo	circle, disk
sinteno	attitude, posture
ajlo	garlic
ĉarumo	wheelbarrow
kredito	credit
deputi	to depute
arterio	artery
punto	lace
Pacifiko	Pacific, Pacific Ocean
lino	flax
denunci	to accuse, denounce, impeach, inform against
rimeno	thong, strap
fasono	cut, mode, fashion
buko	buckle (metal)
sekci	to cut, dissect, (perform an) autopsy, intersect
sekalo	rye
lado	sheet metal, tin, tin plate
latitudo	latitude
ekspedi	to dispatch, send off, ship, expedite, forward, dispatch
loto	lot (something assigned by chance)
minimumo	minimum
estigi	to bring into being, develop, make, create
provinco	province
kandelingo	candlestick, sconce
vindo	bandage; swathing
orienti	to orient, orientate
fungo	mushroom
rento	annuity, dividend, income, return, revenue
deteni	to abstract, restrain, detain
proverbo	proverb
prosperi	to prosper
portreto	portrait
konstitucio	constitution
laĉo	lace, shoelace
falĉi	to cut, mow, reap
manipuli	to handle, manipulate, manage
kolektiva	collective, joint
kaverno	cavern, cave
aserti	to assert, to claim (to be true)
haringo	herring
formulo	formula
pruno	plum
eĥo	echo
surtuto	overcoat
foresti	to be absent, be missing, be away
porcelano	porcelain, china
redakti	to edit
apliki	to apply, practice
paralelo	parallel line
lubriki	to lubricate
zinko	zinc
ĉeesti	to be present, attend
ignori	to ignore
porcio	portion, share
brokanti	to buy and sell used (second-hand) products
bendo	binding, strip, tape
grimaci	to grimace, grin
uniformo	uniform
veruko	wart
nilono	nylon
ampolo	(light) bulb
ironio	irony
hazardo	hazard, accidence, chance
bindi	to bind, link (a program)
universala	world-wide, universal
gumo	eraser, gum
larvo	grub, larva
paraŝuto	parachute
galoŝo	galosh, overshoe
kaduka	decayed, decrepit, dilapidated, rickety, frail, fragile, inoperative
fenomeno	phenomenon
preskribi	to order, prescribe, stipulate
ruino	ruin
tragedio	tragedy
statuo	statue
interpelacii	to interpolate
insigno	badge
sofo	sofa
kontesti	to call into question, challenge, question, debate, deny the truth of, contest
intesto	intestine
plonĝi	to dive, plunge
fikcio	fiction
kaĝo	cage
kubo	cube
dorno	thorn
garni	to decorate, embellish, equip, fit out, furnish, garnish, trim, reinforce, strengthen, adorn
halo	hall (great room)
dando	dandy, dude, fop, fashionista
furaĝo	fodder, forage
bulbo	onion, bulb
liveri	to deliver, to supply, to furnish
buĉi	to slaughter, to butcher
aperturo	aperture, opening
klopodi	to make efforts, set about, endeavor to, take steps to
indiki	to indicate, suggest
ministerio	- (cabinet) department, ministry
emerito	emeritus, ex-official, retired person, retiree, pensioner
emajlo	enamel
piloto	pilot
koncepto	concept
interpreti	to interpret
racio	judgment, reason, logical reasoning, sense, rationality
deĵori	to be on duty (of officer, attendant, etc)
groto	cave, grotto
maizo	maize, (Indian) corn
perono	platform (railway), stoop (entrance porch)
suĉi	to suck
civila	civil, civilian, non-military, secular
jugo	yoke
impeti	to be impetuous, bound, dash, spring, leap, rush
vanta	conceited, frivolous, vain, frivolous
ortografio	orthography
pioniro	pioneer
infekti	to infect, to contaminate
bifsteko	beefsteak
jubileo	jubilee
feĉo	dregs, scum, sediment
lanterno	lantern
harmonio	harmony
laboratorio	laboratory
programo	program
varti	to look after, nurse, take care, tend
singarda	careful, cautious
akademio	academy
virga	virgin, virginal
po	a, at, at the rate of, per, each, apiece
triki	to knit
galo	bile, gall
gudro	pitch, tar
kukumo	cucumber
aveno	oats
vegetara	vegetarian
ŝanceli	to shake, totter, waver
trafiko	traffic
kuseno	cushion, pillow
skorpio	scorpion
tradicio	tradition
dorloti	to caress, to fondle, to pet
klasika	classic; classical
reno	kidney
kokoso	coconut
vertico	apex, node, vertex
ŝinko	ham
cervo	stag, deer
dogano	customs
teraso	terrace
matematiko	mathematics
pupilo	pupil (of eye)
burĝono	bud, young shoot
komisaro	commissar, commissary, commissioner
gento	clan, ethnic group, genus, tribe, family, kin, race, people
viktimo	sacrifice, victim
rabato	rebate, reduction, discount
kalkanumo	heel (of shoe)
cigno	swan
ekzekuti	to execute (criminal)
modifi	to modify, edit
absoluta	absolute, stark, unconditional
luko	porthole, skylight
garbo	bunch, bundle, sheaf, cluster, shock
fasado	façade, front, interface
oficiro	officer (military or naval)
tubero	bump, gnarl, knob, knot, lump, protuberance, tuber
pipro	pepper
iniciati	to initiate, start
televidi	to watch television
plastiko	modeling art, molding art, plastic art
skio	ski
ambasado	diplomatic mission, embassy
klimato	climate
tunelo	tunnel
kakao	cocoa
ŝakalo	jackal
elemento	element
likvo	liquid
arbitra	arbitrary, despotic
tendenco	tendency, bias
aludi	to allude to
gruo	crane (bird)
pliigi	to augment, increase
gramatiko	grammar
rusto	rust
maleolo	ankle
fago	beech (tree)
kabano	cabin, hut, shack
pensio	pension, retirement
raŭpo	caterpillar
ŝpruci	to gush, to spout, to spurt (of liquids)
fazeolo	bean (garden bean)
obstina	obstinate
frako	evening dress (for men)
kristalo	crystal
kaŝtano	chestnut
akordo	accord, accordance, agreement, chord, concord, concurrence, concurrency, consonance
sindona	affectionate, devoted, selfless, generous, helpful, self-sacrificing
ambasadoro	ambassador
inspiri	to inspire
kuniklo	rabbit
universitato	university
cirkulero	circular (letter)
kaĉo	gruel, mess, mush, porridge, puree, slush, hodge-podge
havigi	to get, procure
karafo	carafe, decanter
ansero	goose
tragika	tragic
violono	violin
cindro	ashes
viadukto	viaduct
kraĉi	to expectorate, spit
laŭbo	arbor, summerhouse
braceleto	bracelet
eksporti	to export
palato	- (hard) palate
ŝtipo	log, block of wood
specimeno	specimen, sample
tuno	metric ton
multipliki	to multiply
mencii	to mention
doto	dowry, portion
konversacii	to chat, converse, talk
frazo	sentence, phrase
reakcio	reaction
opero	opera
platano	plane (tree), sycamore
metalurgio	metallurgy
fontano	fountain
persiko	peach
ŝpini	to spin (thread)
zoologio	zoology
regimento	regiment
ĉifi	to crease, crumble, crumple, rumple, wrinkle
palmo	palm, palm tree
graveda	pregnant, with young
balo	ball, dance
dimensio	dimension
egoisto	egoist, egotist
kerno	core, nucleus, kernel, pit, stone
feo	fairy, spirit
Mediteraneo	Mediterranean
rezoni	to reason (exert the power of reasoning)
veti	to wager, to bet
singularo	singular
koncentri	to concentrate
sorgo	sorghum
sindikato	syndicate; trades union
ministro	minister (political)
juki	to itch
artiko	joint
reformi	to amend, reform, remodel
hordeo	barley
fasti	to fast
paradizo	paradise
kranio	skull
talio	waist
aflikti	to afflict, grieve, distress
tarifo	tariff, schedule of rates
rano	frog
generacio	generation
orkestro	orchestra
sekura	safe, secure
komedio	comedy
logiko	logic
adori	to worship, to adore
plando	sole (of the foot)
bloko	block, boulder, chunk, unit
sorbi	to absorb (a liquid), sip
unika	unique
kurento	current (electric)
lesivo	lye, washing solution
princo	prince
spiko	ear (of corn), spike
insidi	to lay a snare, plot against, set a trap (for)
mato	mat
tinti	to chink, clink, jingle, tinkle
jungi	to harness
projekto	project
proleto	member of the lower class, proletarian
sterko	dung, fertilizer, manure
Ameriko	America
termometro	thermometer
bapti	to baptize, christen
malvo	mallow
higieno	hygiene
bovlo	bowl
injekti	to inject
profesoro	professor
neglekti	to neglect
lotuso	lotus
epidemio	epidemic
geografio	geography
flustri	to whisper
eldoni	to issue, to publish
aŭdaca	audacious, bold, daring, intrepid
konfidenco	confidence, secret
akrido	grasshopper
hangaro	hangar
starti	to start (off)
karno	flesh
lokomotivo	locomotive, train engine
paneo	breakdown, mechanical failure
konvalo	lily of the valley
komponi	to combine, compose, conjoin
mirtelo	blueberry
evento	event
palto	coat, overcoat
ekzakta	exact
cigaro	cigar
roso	dew
amara	acerbic, acrimonious, bitter
brido	bridle (of harness)
sino	bosom, breast, lap
ekspozicio	exhibition, exposition
absurda	absurd
senato	senate
aŭtoro	author
trudi	to force upon, to impose
kioma	how many, what number
bambuo	bamboo
torento	stream, torrent, volley
fajenco	crockery, earthenware, pottery
inciti	to rouse, to incite, to excite, to stir up, to provoke, to abet
dieto	diet
basko	coattails, train (of a dress or robe)
ofendi	to offend
deci	to befit, be fitting
grinci	to creak, gnash, grate, grind, grate, make a grinding sound, squeak
splito	splinter
horizonto	horizon
alaŭdo	lark (bird)
asembleo	assembly
krokodilo	crocodile
paliso	stake
daktilo	date (fruit)
aleo	avenue, walk, path (of garden, park, etc.)
principo	principle
deliri	to be delirious, wander, rave
kolombo	pigeon, dove
individuo	individual
hepato	liver
musko	moss
pendolo	pendulum
dikti	to dictate (letters, etc)
apostolo	apostle, disciple
trupo	company (theatrical), troop, troupe, group
dokumento	document; warrant, certificate
kirurgo	surgeon
tinkturo	dye, tint, tincture
trumpeto	trumpet
raŭka	hoarse
ĝermo	germ
substanco	substance
fabo	bean (leguminous fruit)
Afriko	Africa
impliki	to implicate
spinaco	spinach
papo	pope
ekipi	to equip, outfit
grumbli	to grumble
ties	that one's
fuĝi	to flee, run away
spektaklo	spectacle, display
sarki	to hoe, weed, weed out
konkurso	competition
alfabeto	alphabet
periodo	period, time, span; moment; age, epoch; season
figo	fig
aplaŭdi	to applaud
venĝi	to avenge (oneself), revenge
vadi	to wade
torto	pie, tart, pastry
vertikalo	column, vertical line, vertical row (of a matrix)
kresto	crest , (mountain) ridge, (cock’s) comb
kliniko	clinic
helikoptero	helicopter
vegetalo	plant
imuna	exempt, immune
tenera	affectionate, fond, loving, tender
vomi	to vomit, throw up
bagatelo	trifle
stadiono	stadium
flati	to flatter
resumo	summary
konkordo	accord, concord, harmony, agreement
korvo	raven
nervoza	nervous
tramo	streetcar, tram
piceo	spruce (tree)
klubo	club (organization)
prononci	to pronounce
fantazio	fantasy, imagination
centralo	telephone exchange; power station
funelo	funnel
fabelo	bedtime story, fairy tale, story, tale
kupono	coupon
turisto	tourist
alarmo	alarm, alert
grandioza	grand, grandiose, magnificent, superb, sublime, splendid
tufo	clump, tuft, wisp
indulgi	to be lenient with, indulge, spare
sciuro	squirrel
ekvatoro	equator
plenaĝa	adult, grown-up, full-grown, over the age of majority
vespo	wasp
situacio	situation
lapo	burdock, burr
sandviĉo	sandwich
leŭtenanto	lieutenant
kaldrono	boiler, cauldron, kettle
algo	algae, seaweed
ribo	currant
puso	pus
licenco	license
koketa	coquettish
aktuala	topical, current
dresi	to tame, train (an animal)
anekdoto	anecdote
heĝo	hedge
stameno	stamen
angilo	eel
profeto	prophet
koridoro	corridor, passage
eskapi	to escape, flee
amatoro	amateur, enthusiast, fancier
situo	site
Aŭstralio	Australia
vulturo	vulture
traktato	pact, tract, treatise, treaty, monograph
kolumno	column
persisti	to persist, to persevere
teksto	text; lyrics
maso	lump, mass, pile, heap
ĝemelo	twin
civito	citizenry, city state, incorporated town, polity
cirkelo	(pair of) compasses
etapo	period, stage, phase, distance covered, halting place, length covered, stage, stopover, lap
bulteno	bulletin, newsletter
propagandi	to advertise, publicize, propagate
mirinda	amazing, astonishing, marvelous, wonderful
struto	ostrich
rigida	inflexible, rigid, stiff
adapti	to accommodate, adapt, adjust, attune, fix, fit, mount, place, tune
horizontalo	horizontal line, row
karnavalo	carnival
dianto	carnation (flower), pink
vejno	vein
banano	banana
digesti	to digest
planedo	planet
monumento	monument
riverenci	to bow, curtsy, make reverence to
tegolo	roofing tile, shingle
elasta	elastic, springy
rektangulo	rectangle, right angle
liceo	grammar school, high school, secondary school, lyceum
faco	face
opozicii	to be in opposition, oppose
reĝimo	regime
dialogo	dialog
efekto	effect
